Designator,Quantity,Value,Footprint,Manufacturer,Manufacturer Part
C1,C2,C3,C4,4,100nF,C_0603_1608Metric,Yageo,CC0603KRX7R9BB104
C5,1,10uF,C_0603_1608Metric,Samsung,CL10A106KP8NNNC
R1,1,10k,R_0603_1608Metric,Yageo,RC0603FR-0710KL
R2,1,1k,R_0603_1608Metric,Yageo,RC0603FR-071KL
D1,1,1N4007,DO-41_Axial,ON Semi,1N4007G
Q1,1,FGA25N120ANTD,TO-3PN,Infineon,FGA25N120ANTDTU_F109
U1,1,LM393,SOIC-8_150mil,Texas Instruments,LM393DR
U2,1,SN74LVC1G17,SC70-5,Texas Instruments,SN74LVC1G17DCKR
J1,1,Conn_01x02_Pin,Pin_Header_Straight_2x1_P2.54mm,Amphenol,77311-101-02LF
J2,1,Conn_01x03_Pin,Pin_Header_Straight_1x3_P2.54mm,Amphenol,77311-101-03LF
